"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2022","3,878.98","3,929.46","3,929.76","3,877.55","1.62B","-1.41%"
"10/27/2022","3,934.52","3,978.01","3,990.14","3,906.26","4.15B","-1.05%"
"10/26/2022","3,976.36","3,989.65","4,015.62","3,958.79","4.12B","0.03%"
"10/25/2022","3,975.01","3,983.35","4,011.08","3,928.17","5.49B","-0.06%"
"10/24/2022","3,977.51","3,946.13","4,008.80","3,939.73","4.16B","1.09%"
"10/21/2022","3,934.63","3,905.29","3,952.22","3,888.38","4.59B","0.87%"
"10/20/2022","3,900.85","3,889.76","3,942.54","3,877.84","6.56B","0.53%"
"10/19/2022","3,880.34","3,851.41","3,916.91","3,844.48","6.03B","1.01%"
"10/18/2022","3,841.56","3,877.90","3,927.17","3,805.45","6.35B","-0.16%"
"10/17/2022","3,847.62","3,641.40","3,854.13","3,641.40","5.87B","6.08%"
"10/14/2022","3,626.96","3,584.94","3,640.55","3,584.94","3.48B","2.07%"
"10/13/2022","3,553.43","3,529.78","3,577.79","3,521.60","3.37B","1.01%"
"10/12/2022","3,517.75","3,576.84","3,591.37","3,510.86","3.56B","-1.51%"
"10/11/2022","3,571.55","3,590.26","3,605.95","3,563.20","3.95B","-0.29%"
"10/10/2022","3,582.03","3,574.09","3,601.87","3,564.80","3.45B","0.40%"
"10/07/2022","3,567.60","3,563.85","3,589.24","3,546.07","3.74B","0.39%"
"10/06/2022","3,553.85","3,519.85","3,565.47","3,507.75","4.33B","1.99%"
"10/05/2022","3,484.42","3,486.70","3,508.46","3,425.38","4.63B","0.76%"
"10/04/2022","3,458.03","3,435.55","3,480.91","3,400.39","5.26B","1.94%"
"10/03/2022","3,392.13","3,195.81","3,392.13","3,195.81","4.43B","6.67%"
"09/30/2022","3,179.99","3,151.32","3,180.11","3,129.74","3.50B","1.05%"
"09/29/2022","3,146.89","3,218.87","3,240.78","3,048.67","4.52B","-1.60%"
"09/28/2022","3,198.16","3,257.96","3,283.94","3,198.16","3.76B","-2.07%"
"09/27/2022","3,265.64","3,270.53","3,319.14","3,256.46","6.15B","0.17%"
"09/26/2022","3,260.15","3,282.61","3,309.95","3,222.21","4.07B","-0.65%"
"09/23/2022","3,281.61","3,303.54","3,330.37","3,275.57","3.47B","-0.41%"
"09/22/2022","3,295.27","3,247.30","3,320.01","3,236.99","4.66B","1.53%"
"09/21/2022","3,245.76","3,269.45","3,295.74","3,225.03","4.48B","-0.97%"
"09/20/2022","3,277.50","3,221.08","3,280.42","3,149.68","5.63B","2.44%"
"09/19/2022","3,199.54","3,382.95","3,393.66","3,199.54","4.21B","-5.26%"
"09/16/2022","3,377.33","3,349.58","3,398.62","3,317.53","5.52B","0.42%"
"09/15/2022","3,363.12","3,456.44","3,494.38","3,355.15","5.31B","-2.43%"
"09/14/2022","3,446.96","3,419.07","3,446.96","3,277.43","4.60B","0.59%"
"09/13/2022","3,426.88","3,684.23","3,715.28","3,426.88","8.39B","-6.09%"
"09/12/2022","3,649.21","3,557.67","3,650.07","3,543.92","7.36B","3.63%"
"09/09/2022","3,521.38","3,465.10","3,545.86","3,452.23","6.47B","2.44%"
"09/08/2022","3,437.41","3,428.31","3,505.65","3,420.01","7.52B","1.02%"
"09/07/2022","3,402.81","3,401.76","3,424.37","3,338.13","7.01B","0.34%"
"09/06/2022","3,391.38","3,381.68","3,448.93","3,298.62","9.06B","0.98%"
"09/05/2022","3,358.37","3,247.88","3,367.31","3,247.88","7.20B","4.21%"
"09/02/2022","3,222.74","3,166.49","3,228.88","3,159.81","6.33B","2.55%"
"09/01/2022","3,142.74","3,168.41","3,182.95","3,125.47","6.46B","-0.90%"
"08/31/2022","3,171.21","3,178.28","3,198.99","3,160.04","5.65B","0.20%"
"08/29/2022","3,164.96","3,145.17","3,174.02","3,110.60","5.18B","0.60%"
"08/26/2022","3,146.10","3,149.43","3,188.07","3,104.90","7.92B","0.30%"
"08/25/2022","3,136.77","3,076.10","3,145.92","3,074.81","6.17B","2.50%"
"08/24/2022","3,060.30","3,133.19","3,148.82","3,056.76","5.58B","-1.96%"
"08/23/2022","3,121.52","3,070.20","3,131.56","3,070.20","5.85B","1.93%"
"08/22/2022","3,062.49","3,017.82","3,083.34","3,010.69","5.53B","1.40%"
"08/19/2022","3,020.20","3,025.23","3,051.83","2,999.46","5.09B","0.01%"
"08/18/2022","3,020.01","2,979.10","3,033.81","2,924.83","6.98B","1.34%"
"08/17/2022","2,980.00","2,928.71","2,983.22","2,919.77","6.20B","2.29%"
"08/16/2022","2,913.30","2,862.20","2,913.30","2,773.06","5.57B","1.96%"
"08/15/2022","2,857.18","2,875.37","2,885.34","2,844.60","3.58B","-0.25%"
"08/12/2022","2,864.25","2,871.82","2,896.67","2,840.99","4.55B","-0.15%"
"08/11/2022","2,868.44","2,846.83","2,877.60","2,834.61","4.84B","1.37%"
"08/10/2022","2,829.58","2,779.66","2,829.62","2,764.41","4.69B","1.59%"
"08/09/2022","2,785.16","2,795.36","2,807.21","2,762.28","4.15B","-0.35%"
"08/08/2022","2,795.06","2,759.43","2,802.83","2,759.43","4.66B","1.62%"
"08/05/2022","2,750.49","2,729.93","2,762.95","2,707.18","5.42B","0.98%"
"08/04/2022","2,723.67","2,701.07","2,733.50","2,701.07","3.98B","1.46%"
"08/03/2022","2,684.46","2,664.83","2,684.46","2,664.83","3.47B","1.39%"
"08/02/2022","2,647.59","2,662.00","2,681.43","2,639.05","3.54B","-0.33%"
"08/01/2022","2,656.32","2,592.38","2,656.76","2,592.38","3.03B","2.47%"
"07/29/2022","2,592.38","2,547.95","2,593.57","2,538.51","2.73B","1.93%"
"07/28/2022","2,543.33","2,567.20","2,574.38","2,537.20","3.16B","-0.03%"
"07/27/2022","2,544.12","2,550.85","2,553.77","2,531.66","2.74B","0.28%"
"07/26/2022","2,537.12","2,558.23","2,565.61","2,535.32","3.52B","-0.45%"
"07/25/2022","2,548.49","2,520.84","2,553.13","2,520.84","2.93B","1.27%"
"07/22/2022","2,516.56","2,524.49","2,542.65","2,497.82","2.91B","0.21%"
"07/21/2022","2,511.37","2,528.51","2,535.93","2,505.16","2.87B","-0.55%"
"07/20/2022","2,525.20","2,514.16","2,527.46","2,499.12","2.65B","0.93%"
"07/19/2022","2,501.96","2,449.40","2,501.96","2,448.03","3.00B","2.07%"
"07/18/2022","2,451.27","2,401.91","2,451.27","2,401.91","2.15B","2.89%"
"07/14/2022","2,382.44","2,407.33","2,421.18","2,375.00","2.25B","-1.06%"
"07/13/2022","2,408.08","2,435.49","2,440.98","2,387.89","1.92B","-1.07%"
"07/08/2022","2,434.02","2,425.47","2,439.83","2,422.79","609.36M","0.35%"
"07/07/2022","2,425.56","2,412.35","2,428.62","2,403.51","1.83B","0.72%"
"07/06/2022","2,408.15","2,389.11","2,411.10","2,370.13","2.26B","1.56%"
"07/05/2022","2,371.25","2,417.84","2,426.48","2,359.09","2.53B","-1.44%"
"07/04/2022","2,405.98","2,458.73","2,475.47","2,405.62","2.18B","-1.55%"
"07/01/2022","2,443.77","2,408.64","2,452.82","2,399.54","2.05B","1.60%"
"06/30/2022","2,405.36","2,400.80","2,427.63","2,367.78","2.94B","0.14%"
"06/29/2022","2,401.96","2,492.58","2,494.28","2,401.96","2.70B","-3.55%"
"06/28/2022","2,490.24","2,545.35","2,561.14","2,471.54","2.78B","-1.54%"
"06/27/2022","2,529.26","2,539.24","2,548.73","2,483.01","2.18B","-0.97%"
"06/24/2022","2,554.08","2,554.76","2,570.63","2,525.17","2.51B","0.43%"
"06/23/2022","2,543.21","2,576.07","2,588.68","2,533.86","2.62B","-1.21%"
"06/22/2022","2,574.30","2,572.18","2,586.86","2,552.05","2.42B","-0.06%"
"06/21/2022","2,575.86","2,557.11","2,582.21","2,550.77","2.72B","1.44%"
"06/20/2022","2,539.20","2,548.95","2,555.10","2,511.34","2.62B","0.23%"
"06/17/2022","2,533.33","2,491.51","2,533.33","2,485.82","2.65B","1.93%"
"06/16/2022","2,485.36","2,535.82","2,544.11","2,469.21","2.79B","-1.81%"
